"","gene","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"1","MTRNR2L12",-0.0103971061908909,0.0187895201408411,0.0170390663751117,-0.0480620729394509,-0.022123233477073,0.106679964695986,-0.0375922936082226,0.031403032572035,-0.0207028931622355,0.0099423988901619,-0.0126609418010621,-0.048992652498849,0.040170219035502,-0.0120992994949138,-0.0288718289856615,0.0151346291814804,0.00909822946075335,0.108131295627358,-0.0177090971583162,-0.0310942011151483,-0.010690284023052,-0.060089133496073,0.045144822891486,0.0375194447477855,0.0286940614849453,0.0449749882085553,-0.0181101420971509,-0.0407955703565779,-0.0127469529354049,-0.00452551329728332,-0.0536223965297783,0.132750722464336,0.0462757000533394,0.00962014676277317,-0.178547166443214,-0.0424087212473734,-0.0192553732773013,-0.0319762875271292,-0.0304067091282617,0.00133264541615404,0.033528022886678,-0.0649179114396456,0.942041941346995
"2","CXCL10",0.213305733043656,0.0468515929223507,0.470379960068609,-0.0840221101400146,0.140217357674209,-0.0659447678547105,-0.119721777334625,-0.234168051067524,-0.041726237287544,0.00406413969250197,0.054273205048496,0.0479665908456569,0.102158586519485,0.226793107655707,0.202649475178631,0.0112256475243668,0.109229490138077,-0.317566171438396,-0.130070498342436,0.0676352678848935,0.294089264904593,0.249612721017731,-0.211366686713786,-0.00165032293739982,0.250980011902283,0.1045594655597,-0.118186343152437,0.0179723927683045,-0.033236387346822,-0.0110141287734209,0.18480045733888,-0.150591430139765,0.0149621484177485,0.113412578093933,-0.0969579541712494,0.0110182993944495,0.0765192344750227,-0.0193025946280468,0.0672716570950787,0.0813778672755387,0.0290915477096021,0.0187734961945597,0.0744602661025472
"3","GBP5",0.192877369497728,0.0334109978527812,-0.117850863092569,-0.135719027112934,0.374927757227089,0.0378352411355522,0.138464895006978,0.104009431595183,-0.0517086026071888,-0.212882440228092,-0.073470215587749,-0.101273621522893,0.0782599203993499,-0.0818840080628029,0.108675755087511,-0.112154606389862,-0.2118424700031,0.106246615462176,-0.385474496542985,-0.0726656481417068,-0.33843073877092,0.242347424111411,-0.0340957437331284,0.176704160032166,0.133047529977633,-0.0627134377395246,-0.0875955787044603,0.247073334264099,-0.00192877832953754,-0.0723000861564878,0.0517485857004065,-0.10158721644012,-0.0716831811316503,-0.133661511632053,0.120704470683493,0.180235437296616,0.0626150319785537,0.174630643237499,-0.145976049590494,-0.0171286629314164,-0.059210618590621,-0.0139026734611533,0.0496593659363845
"4","IFIT3",0.226756712891756,0.103051167906376,0.00988377449660139,-0.101827743827635,-0.0877471705000891,0.0391517214477931,-0.0483872469236968,0.226924091162332,-0.0695554959627481,-0.00802852232855668,-0.0951022956028066,-0.175366670600468,-0.070515685549405,0.0989299496636903,-0.0702179667629965,-0.147143853248541,0.0226294465094032,-0.155519329203794,-0.167313225813048,0.019019071153246,-0.170664601462747,-0.112961329340438,0.183024457047872,0.0209230188710649,-0.192752093358601,0.156596576673976,-0.145106491019048,-0.0234119037029207,-0.270187367915939,-0.0759311737645644,0.18394927031527,-0.128209414070412,-0.166918831703312,0.0354924100285885,0.117552446391566,-0.264159999326355,-0.093779754158044,-0.424503341663097,0.083237006816793,-0.011359197524462,0.357577644519614,-0.00923117753519366,-0.0215529403440167
"5","IFIT2",0.242200293401034,0.133091517629984,0.0298346870793917,-0.0995355737581597,-0.0910953351043552,0.188523781453816,0.070944950832162,-0.141176546740046,-0.00116092633098169,-0.0706380785174329,0.267755583643939,-0.148088955800271,-0.201563631480097,-0.126592349038382,-0.178695587187443,-0.195085914188537,-0.0431775649151625,-0.137708329681031,-0.132335830922206,-0.0147269524363297,0.0622867556493341,-0.276694896681703,-0.076274032454615,-0.23471575078542,0.140903708289595,-0.0461966301906996,-0.100496896052625,0.129311369825682,-0.115444846803323,0.0665346014628455,5.70055595233709e-06,0.273669071563028,0.0401798716833652,-0.184567695778745,-0.0316100867860309,0.0332040010065797,0.0411721744493551,0.106727728388763,0.330547664850405,-0.257986354735152,-0.20498279841026,-0.164032672742363,-0.0423166405798999
"6","MX2",0.195944695804462,0.0479668682171751,-0.133119193569379,0.0154593972826463,-0.0372939831422016,-0.166002187339918,-0.101188480864449,-0.0235411999683227,0.0782905852347082,0.0433230755642987,-0.339598568636089,-0.0804463123749688,-0.0802774373455041,0.0925501596047342,0.12027608090571,-0.066286948258353,-0.00997498257218615,-0.149522489451998,0.174439910234463,0.10397078670233,-0.0272584140886063,-0.0224364104241598,-0.144830944197586,-0.0574444927090335,-0.26170181304986,-0.0743083640280067,-0.140952467410749,0.148617956477675,-0.0152575762202951,-0.0956835949825454,0.174947849410328,0.0312831911155232,0.233707926547324,0.143399330768935,-0.144534187419656,0.143435102795121,-0.318194331067634,-0.0151757554527877,-0.281603390207405,-0.219135285507861,-0.27641350020666,-0.264032248791517,0.0145004601048802
"7","CXCL9",0.162047804637283,-0.038796751764495,0.427107493109082,0.105926980135179,0.412868687516616,-0.0243998599507055,0.283365644908226,0.0462543381126971,0.0603756342657985,0.0991809660163019,-0.0320590090582209,0.0189969015408273,-0.0296449467160185,0.229850078645521,0.027164116409939,0.277455166535151,-0.018418408045797,0.261299839694464,0.0752462300376056,0.00990392760084632,-0.0448755060711337,-0.255896998515051,0.217240827852626,-0.0869753704329013,-0.198399879684154,0.101258451624488,-0.166122280646007,-0.0783461924694342,0.0106262664041701,-0.0202349827756939,-0.0521266856172861,0.0746728572331734,0.188307742608532,-0.205941274429775,0.0508982767483139,0.0335096085570984,-0.026295517657433,0.0175093595972734,0.0198335124249877,-0.0711308434328266,-0.000297194912138282,-0.0117673395919535,-0.0427728508083603
"8","EPSTI1",0.166210399833966,0.0377605788344417,-0.0246811769513112,0.0685554629950679,0.0614822279271831,0.109066549393064,-0.218337352424305,0.400605602508368,-0.158025048962868,0.120403030890902,-0.155361140126921,0.309351093042955,-0.0241996783484527,-0.0840935641324247,-0.0880557386078171,0.106056207336493,0.125253817564313,0.151015282120134,-0.028398279535794,0.268488145412788,0.199301617713533,0.0711798464774657,0.103218865877353,0.0444044794925074,0.1816689663656,-0.20216938259631,0.0606804087048267,0.0128097930575824,-0.202721527629849,0.263941971558178,0.263213565777261,0.0423402629746318,-0.0695515707481886,-0.224266877990054,-0.0104200327816942,-0.0247157802578687,-0.165374524256183,0.0573838330638822,0.0647465235248185,0.0748591580121228,-0.175726524533872,0.0150969858626033,-0.00942566185523519
"9","IFIT1",0.231609715451948,0.110166190511993,0.0632677683879792,0.00382079021650926,-0.219949197251891,0.180561397282278,0.0234463721690543,0.0728203151373021,0.000496368874274011,-0.0123091782388861,-0.155648436572635,-0.159794184617271,-0.0315301186751712,0.0782369813289427,-0.0611643584165206,0.0288410958042466,-0.0713030900057233,-0.167871563015651,-0.0255254606500339,-0.13405855039564,0.0642232640362468,-0.0646647853237421,0.140501177076788,0.117390500576876,-0.00907870558554988,0.168065384909864,0.211668296763904,0.00679951770322237,-0.0803632146694614,-0.0813737442637229,-0.358029201352276,-0.322562899034426,0.147620964324808,-0.182491970888851,-0.149744829014638,-0.0983221281488941,-0.0532644170067305,0.192892084333603,-0.0658003481166628,0.394550871471087,-0.283688236010962,-0.00265535589899645,-0.0429884931448715
"10","RSAD2",0.211150292955663,0.107598654667336,-0.107269049861463,-0.0529253294665954,-0.120040898103749,0.153904070160453,0.192357913416881,-0.198541289440278,-0.0667314917229586,0.0457550924364817,0.172309711032549,-0.153910793778089,-0.0446698345363957,-0.213202033161241,0.0295897666319692,-0.0124238531727219,-0.0139689292347456,0.315006804138851,0.0611706670170863,-0.0120294853862348,0.214255622382125,-0.132898569137687,0.0298308550622717,-0.0164158952456117,0.182376534207298,-0.0991493489306386,0.0240949048625415,-0.147420482056497,-0.00138088431809403,-0.0570746417437641,0.334541458996049,-0.232267066699786,0.298800103286578,0.0528418500611822,0.0305388412864549,0.1765219506312,-0.105494513081829,-0.0493063393056425,-0.274834035281486,0.126762703718838,0.260970529388803,0.0756525679019453,-0.0296852180090766
