"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SIGLEC5",4.63687944364124,18.3990825261314,2.512795909705,7.32215555392694,2.440190505908e-13,3.88966366641735e-09
"RPL4P7",2.4747291039591,14.7512961670981,2.49552813197301,5.91109191601677,3.39847316434038e-09,1.80572207465285e-05
"SLC2A3P4",1.24284571595515,16.621790063822,2.7943475319911,5.9483617816064,2.70839450691906e-09,1.80572207465285e-05
"ZDHHC4P1",20.738807112183,9.65714577117599,1.65666134473863,5.82928176711917,5.56664425489458e-09,2.21830773557549e-05
"LRRC66",0.865200989185231,15.0466808956588,3.12059134464336,4.82174025172731,1.42311181933023e-06,0.00453688048002477
"CXCL11",70.5381279444794,-4.69066156186348,1.07084724452165,-4.38032743312404,1.18501107250518e-05,0.030477561197222
"ZNF354B",72.9612520347785,-2.63234332875423,0.604618114296166,-4.35372885216735,1.33841234868603e-05,0.030477561197222
"JCHAIN",20.1735410996568,4.84226293902104,1.13547024111718,4.26454411896942,2.00310762582706e-05,0.0399119194446042
"FLG",6.2529517231668,7.20693975571348,1.78467001024489,4.03824780734931,5.38519475778633e-05,0.0953777827101268
