"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABRACL",4.29346542753066,-0.0908971556451637,0.82783358822542,-0.109801241382359,0.91256700651842,NA
"ABRAXAS1",18.8937592809669,1.20997236893459,0.671940336598674,1.80071399651255,0.0717479703755581,NA
"ABRAXAS2",12.4945318341533,0.721661023696295,0.654976808479543,1.1018115669951,0.270543600610278,NA
"ABT1",4.5464982975814,0.295736248609877,0.932877242058518,0.317015181930363,0.751232082449534,NA
"ABTB1",7.88227707826799,0.0902324155415334,1.0895027148135,0.0828198170731307,0.933994811513911,NA
"ABTB2",3.84072479573844,1.34926823101443,1.21007464067819,1.11502892933797,0.264838024952423,NA
"AC000367.1",5.57083838995803,0.432810230037918,1.15835548473968,0.373641974108826,0.708670701248609,NA
"AC001226.2",12.5758847938276,0.292029699115246,1.01250005068584,0.288424379749348,0.773021907943273,NA
"AC002543.1",0.636661478210044,-1.12867189522286,2.32328539456093,-0.485808544169911,0.62710291585173,NA
"AC002996.1",1.44076197307248,1.93681782842698,1.70664998593272,1.13486528836695,0.256431765766413,NA
"AC003002.2",1.00418475561532,0.467591527230938,1.99683120538051,0.234166776826705,0.814855506269567,NA
"AC003005.1",1.34992836377712,-0.702507975440637,1.76320725048371,-0.398426206135389,0.690316043808438,NA
"AC003080.1",0.990878347278051,-1.89471526325905,2.20676270324779,-0.858594927524613,0.390564037617421,NA
"AC003688.2",2.69985300108036,2.0447156879547,1.86637597613764,1.09555401167675,0.273273996556899,NA
"AC004076.1",6.18042825033711,-0.644754048383705,0.995342797770255,-0.64777084822241,0.517133172918246,NA
"AC004805.1",0.676716379054608,2.20317922531654,1.92463968006409,1.14472295678907,0.252323938636458,NA
"AC004890.2",1.61740047208715,-0.488732943661249,1.37876671331405,-0.354471092855522,0.722985864035166,NA
"AC004910.1",1.51676442651438,1.19569609613778,1.41888328248335,0.842702222867165,0.399395003689909,NA
"AC004923.1",1.76393185394627,0.275650498613785,1.36131810976323,0.202487939179571,0.8395352862681,NA
"AC004951.2",0.925544858605056,0.406055923853771,1.89474686613247,0.214306159367139,0.830308315138095,NA
"AC004980.1",1.27947032675996,1.83782502249958,1.22540915322457,1.49976439923227,0.133675442212209,NA
"AC004980.6",1.28289307644355,1.83779422408812,1.22816917007271,1.49636896029503,0.134557533611087,NA
"AC005041.1",16.0722502854811,0.16654680804545,0.698162522244956,0.23855019818296,0.811454386316977,NA
"AC005077.4",2.43361810233519,-0.256693051474277,1.16214983255723,-0.220877759720054,0.825187614922994,NA
"AC005154.2",4.90305159129981,-1.6568162326326,1.68612428685814,-0.982618093782309,0.325795435826576,NA
"AC005154.5",0.927910505163926,0.184927488839651,1.52901369413724,0.120945606667047,0.903734118390592,NA
"AC005324.3",4.14116942270709,0.164575635891385,1.38380698206257,0.118929618093186,0.905331116439459,NA
"AC005324.4",2.18010252319676,1.07010247758964,1.41776823814034,0.754779553386857,0.450381264074327,NA
"AC005476.1",0.64218381318748,-0.380605451757585,2.56946957515405,-0.148126078408524,0.882243268871666,NA
"AC005515.1",7.49185740350305,-2.59189633746406,1.29084021619122,-2.00791415153748,0.0446524151057642,NA
"AC005520.3",3.22400964303127,-0.109079334071754,1.64537487386257,-0.0662945179269007,0.947143347685817,NA
"AC005531.1",2.63690288937461,0.435964163212457,1.2542220610105,0.347597269068295,0.728142657509067,NA
"AC005622.1",0.570725888511143,-1.18485801507107,2.88192815792384,-0.411133779241968,0.680974442129805,NA
"AC005726.1",13.3615501436872,-0.297219523980149,0.89805036857155,-0.330960861864474,0.740674048799483,NA
"AC005822.1",0.463882554463551,1.05367754973204,4.77081953522956,0.220858815126266,0.825202366291371,NA
"AC005832.4",3.40315000566555,-1.82369597751233,1.32605635600826,-1.37527788260982,0.169045310734473,NA
"AC005833.1",2.31131972592369,-0.598061080161045,1.39846624557239,-0.427654998506067,0.668902317819241,NA
"AC005865.1",5.26262362123266,-1.0131931553836,1.01810168351467,-0.995178744706397,0.31964933760321,NA
"AC006001.3",14.3165832114071,-0.406066657307224,0.862100994310685,-0.471019822488321,0.637626579441445,NA
"AC006030.1",1.39523656261157,1.69719987009995,1.93581000280157,0.876738867783361,0.380628490249268,NA
"AC006042.2",1.19613600880152,0.613371926672224,1.48432476700676,0.413232966468066,0.679435937133743,NA
"AC006254.1",0.80859885735871,-0.0627970778825743,1.8707064731164,-0.0335686430688193,0.973221127375099,NA
"AC006453.3",1.34646040094157,1.6723647896477,1.37757200631032,1.21399446416377,0.224749838102312,NA
"AC006486.1",1.39484649095628,-2.57181856688251,1.56244035328844,-1.64602671805657,0.0997582583536785,NA
"AC006978.1",4.37326929583662,-0.49705406571157,0.983213752348269,-0.505540188513867,0.613179478913837,NA
"AC006978.2",1.34136608026196,0.485310053894316,1.26165539320668,0.384661339782196,0.700488341666921,NA
